source_id	page_id	revision_id	revision_timestamp	revision_sha1	title	canonical_url	revision_url	acquisition_rows	disposition
wiki:fextralife:page-23343:revision-756506	23343	756506	2026-08-21T21:05:40Z	a9b2e25cb56e01acb1f67bec5241528210baac1f	Explosive Ghostflame	https://eldenring.wiki.fextralife.com/Explosive_Ghostflame	https://eldenring.wiki.fextralife.com/Explosive_Ghostflame?oldid=756506	15	lead_only
wiki:fextralife:page-23374:revision-757246	23374	757246	2026-08-21T21:20:28Z	97005287fc04b30e0777e062be47f3437a32a56f	Eye of Yelough	https://eldenring.wiki.fextralife.com/Eye_of_Yelough	https://eldenring.wiki.fextralife.com/Eye_of_Yelough?oldid=757246	17	lead_only
wiki:fextralife:page-23421:revision-756930	23421	756930	2026-08-21T21:14:12Z	39d3d16df5e48af5e3fbe63d40476e1ab970524a	Ash of War: Troll's Roar	https://eldenring.wiki.fextralife.com/Ash_of_War:_Troll's_Roar	https://eldenring.wiki.fextralife.com/Ash_of_War:_Troll's_Roar?oldid=756930	7	lead_only
wiki:fextralife:page-23444:revision-756679	23444	756679	2026-08-21T21:09:09Z	3907239f0636b79131b306ef2e440c9170cb55b4	Large Glintstone Scrap	https://eldenring.wiki.fextralife.com/Large_Glintstone_Scrap	https://eldenring.wiki.fextralife.com/Large_Glintstone_Scrap?oldid=756679	8	lead_only
wiki:fextralife:page-23448:revision-757141	23448	757141	2026-08-21T21:18:25Z	5f974796aa4ab1d6e73630444c156bf874cd75f7	Celestial Dew	https://eldenring.wiki.fextralife.com/Celestial_Dew	https://eldenring.wiki.fextralife.com/Celestial_Dew?oldid=757141	19	lead_only
wiki:fextralife:page-23544:revision-759259	23544	759259	2026-08-31T19:58:59Z	15224a30cb49cec7235b307066f4b17f32899136	Great Stars	https://eldenring.wiki.fextralife.com/Great_Stars	https://eldenring.wiki.fextralife.com/Great_Stars?oldid=759259	72	lead_only
wiki:fextralife:page-23588:revision-754337	23588	754337	2026-08-17T19:34:45Z	968be503bba174c3d10fc1cb0f761d1845ab32f7	Larval Tear	https://eldenring.wiki.fextralife.com/Larval_Tear	https://eldenring.wiki.fextralife.com/Larval_Tear?oldid=754337	38	lead_only
wiki:fextralife:page-23632:revision-756631	23632	756631	2026-08-21T21:08:09Z	a946aec35e59cde3585871dabffbba487e8d4a46	Fan Daggers	https://eldenring.wiki.fextralife.com/Fan_Daggers	https://eldenring.wiki.fextralife.com/Fan_Daggers?oldid=756631	21	lead_only
wiki:fextralife:page-23704:revision-758000	23704	758000	2026-08-21T21:37:51Z	f19c780d56eaa151049fdf9299ca9952d87c85a5	Leather Arm Wraps	https://eldenring.wiki.fextralife.com/Leather_Arm_Wraps	https://eldenring.wiki.fextralife.com/Leather_Arm_Wraps?oldid=758000	6	lead_only
wiki:fextralife:page-23751:revision-758006	23751	758006	2026-08-21T21:37:58Z	425776e68040311aca48cff72e36529cc5dbfa43	Leather Leg Wraps	https://eldenring.wiki.fextralife.com/Leather_Leg_Wraps	https://eldenring.wiki.fextralife.com/Leather_Leg_Wraps?oldid=758006	5	lead_only
wiki:fextralife:page-23919:revision-757276	23919	757276	2026-08-21T21:21:03Z	396f7f6ba5bb812c6e6b1a0183cc383d2db12f8b	Old Fang	https://eldenring.wiki.fextralife.com/Old_Fang	https://eldenring.wiki.fextralife.com/Old_Fang?oldid=757276	21	lead_only
wiki:fextralife:page-24290:revision-756634	24290	756634	2026-08-21T21:08:13Z	71f613d5910b31ec1d6a2e3d420a196c53abebb7	Fire Grease	https://eldenring.wiki.fextralife.com/Fire_Grease	https://eldenring.wiki.fextralife.com/Fire_Grease?oldid=756634	14	lead_only
wiki:fextralife:page-24318:revision-753685	24318	753685	2026-08-14T17:19:32Z	6a2c58e2f6bac2c94936ebc50f00496c5e52bcdb	Trina's Lily	https://eldenring.wiki.fextralife.com/Trina's_Lily	https://eldenring.wiki.fextralife.com/Trina's_Lily?oldid=753685	71	lead_only
wiki:fextralife:page-24441:revision-757572	24441	757572	2026-08-21T21:26:50Z	10b9f4060eab59405140b33b9a7092a9132fc487	Serpent Arrow	https://eldenring.wiki.fextralife.com/Serpent_Arrow	https://eldenring.wiki.fextralife.com/Serpent_Arrow?oldid=757572	11	lead_only
wiki:fextralife:page-24541:revision-757301	24541	757301	2026-08-21T21:21:32Z	b5a177d7b22e5979124f7fb45ef77f6c61d8c149	Turtle Neck Meat	https://eldenring.wiki.fextralife.com/Turtle_Neck_Meat	https://eldenring.wiki.fextralife.com/Turtle_Neck_Meat?oldid=757301	7	lead_only
wiki:fextralife:page-24821:revision-757269	24821	757269	2026-08-21T21:20:54Z	92e62ea8f95ac6d5df1988a671ed330c34853f3a	Living Jar Shard	https://eldenring.wiki.fextralife.com/Living_Jar_Shard	https://eldenring.wiki.fextralife.com/Living_Jar_Shard?oldid=757269	10	lead_only
wiki:fextralife:page-24834:revision-756637	24834	756637	2026-08-21T21:08:18Z	2b1fd4b8e88f433f6afd14f2679a3c1b0829a1c5	Fireproof Pickled Liver	https://eldenring.wiki.fextralife.com/Fireproof_Pickled_Liver	https://eldenring.wiki.fextralife.com/Fireproof_Pickled_Liver?oldid=756637	14	lead_only
wiki:fextralife:page-25043:revision-756705	25043	756705	2026-08-21T21:09:40Z	32559b5c02cd545e030798f70877ea65ce51a829	Shadow Realm Rune (1)	https://eldenring.wiki.fextralife.com/Shadow_Realm_Rune_(1)	https://eldenring.wiki.fextralife.com/Shadow_Realm_Rune_(1)?oldid=756705	5	lead_only
wiki:fextralife:page-25050:revision-756706	25050	756706	2026-08-21T21:09:41Z	50ff5be2093b6287c616c91df202e79f03b7c01d	Shadow Realm Rune (2)	https://eldenring.wiki.fextralife.com/Shadow_Realm_Rune_(2)	https://eldenring.wiki.fextralife.com/Shadow_Realm_Rune_(2)?oldid=756706	5	lead_only
wiki:fextralife:page-25060:revision-756707	25060	756707	2026-08-21T21:09:43Z	f0b6f7514b4ff9c7dc66dd46f5cd650fe875b1f5	Shadow Realm Rune (3)	https://eldenring.wiki.fextralife.com/Shadow_Realm_Rune_(3)	https://eldenring.wiki.fextralife.com/Shadow_Realm_Rune_(3)?oldid=756707	7	lead_only
